AAA	Anaa, French Polynesia
MUC	Muenchen (Munchen,Munich) [Franz Josef Strauss], Germany
MUD	Kabalega Falls/Murchison Falls, Uganda
MUE	Kamuela, HI [Waimea-Kohala Airport], USA
MUF	Muting, Indonesia
MUG	Mulege, Mexico
MUH	Marsa Matrum (Mersa Matruh), Egypt
MUI	Fort Indiantown Gap (Anvle), PA [Muir Army Air Field], USA
MUJ	Mui, Ethiopia
MUK	Mauke, Cook Islands
MUL	Moultrie, GA [Spence Airport], USA
MUM	Mumias, Kenya
MUN	Maturin, Venezuela
MUO	Mountain Home, ID [Mountain Home Air Force Base], USA
MUP	Mulga Park, Northern Territory, Australia
MUQ	Muccan, Western Australia, Australia
MUR	Marudi, Sarawak, Malaysia
MUS	Marcus Islands, Japan
MUT	Muscatine, IA [Muscatine Municipal Airport], USA
MUU	Mount Union, PA [Huntingdon County Airport], USA
MUV	Philadelphia, PA [Mustin ALF], USA
MUW	Mascara, Algeria
MUX	Multan, Pakistan
MUY	Mouyondzi, Congo
MUZ	Musoma, Tanzania
MVA	Myvatn [Reykjahlidh], Iceland
MVB	Franceville [M'Vengue], Gabon
MVC	Monroeville, AL [Monroe County Airport], USA
MVD	Montevideo [Carrasco], Uruguay
MVE	Montevideo, MN [Montevideo-Chippewa County Airport], USA
MVF	Mossoro, RN, Brazil
MVG	Mevang, Gabon
MVH	Macksville, KS [Smith Field], USA
MVI	Manetai, Papua New Guinea
MVJ	Mandeville, Jamaica
MVK	Mulka, South Australia, Australia
MVL	Morrisville/Stowe, VT [Morrisville-Stowe State Airport], USA
MVM	Kayenta, AZ [Kayenta Airport], USA
MVN	Mount Vernon, IL [Mount Vernon Airport], USA
MVO	Mongo, Chad
MVP	Mitu, Colombia
MVQ	Mahilyow (Mogilev), Mahiliow, Belarus
MVR	Maroua [Salak], Cameroon
MVS	Mucuri, BA, Brazil
MVT	Mataiva, French Polynesia
MVU	Musgrave, Queensland, Australia
MVV	Megeve, France
MVW	Mount Vernon, WA [Barker Airport], USA
MVX	Minvoul, Gabon
MVY	Martha's Vineyard (Vineyard Haven), MA [Martha's Vineyard Airport], USA
MVZ	Masvingo, Zimbabwe
MWA	Marion, IL [Williamson County Regional Airport], USA
MWB	Morawa, Western Australia, Australia
MWC	Milwaukee, WI [Lawrence J. Timmerman Airport], USA
MWD	Mianwali, Pakistan
MWE	Merowe, Sudan
MWF	Maewo, Vanuatu
MWG	Marawaka, Papua New Guinea
MWH	Moses Lake, WA [Grant County Airport], USA
MWI	Maramuni, Papua New Guinea
MWJ	Matthews Ridge, Guyana
MWK	Matak, Indonesia
MWL	Mineral Wells, TX [Mineral Wells Airport], USA
MWM	Windom, MN [Windom Municipal Airport], USA
MWN	Mwadui, Tanzania
MWO	Middletown, OH [Hook Field Municipal Airport], USA
MWP	Mountain, Nepal
MWQ	Magwe, Myanmar
MWS	Mount Wilson, CA, USA
MWT	Moolawatana, South Australia, Australia
MWU	Mussau, Papua New Guinea
MWX	Moss Town, Exuma [Exuma International], Bahamas
MWY	Miranda Downs, Queensland, Australia
MWZ	Mwanza, Tanzania
MXA	Manila, AR [Manila Municipal Airport], USA
MXB	Masamba, Indonesia
MXC	Monticello, UT [San Juan County Airport], USA
MXD	Marion Downs, Queensland, Australia
MXE	Maxton, NC [Laurinburg-Maxton Airport], USA
MXF	Montgomery, AL [Maxwell Air Force Base], USA
MXG	Marlborough, MA, USA
MXI	Mati, Philippines
MXJ	Minna, Nigeria
MXK	Mindik, Papua New Guinea
MXL	Mexicali [General Rodolfo S. Taboada], Mexico
MXM	Morombe, Madagascar
MXN	Morlaix [Plaujean], France
MXO	Monticello, IA [Monticello Municipal Airport], USA
MXP	Milano (Milan) [Malpensa], Italy
MXQ	Mitchell River, Australia
MXR	Mirgorod, Poltava, Ukraine
MXS	Maota, Western Samoa
MXT	Maintirano, Madagascar
MXU	Mullewa, Western Australia, Australia
MXX	Mora [Siljan], Sweden
MXZ	Meixian, China
MYA	Moruya, New South Wales, Australia
MYB	Mayoumba, Gabon
MYC	Maracay, Venezuela
MYD	Malindi, Kenya
MYE	Miyake Jima, Japan
MYF	San Diego, CA [Montgomery Field], USA
MYG	Mayaguana, Mayaguana, Bahamas
MYH	Marble Canyon, AZ, USA
MYI	Murray Islands, Queensland, Australia
MYJ	Matsuyama, Skikoku, Japan
MYK	May Creek, AK [May Creek Airport], USA
MYL	McCall, ID [McCall Airport], USA
MYM	Monkey Mountain, Guyana
MYN	Mareb, Yemen
MYO	Myroodah, Australia
MYP	Mary, Mary, Turkmenistan
MYQ	Mysore, India
MYR	Myrtle Beach, SC [Myrtle Beach Jetport], USA
MYS	Moyale, Ethiopia
MYT	Myitkyina, Myanmar
MYU	Mekoryuk, AK [Mekoryuk Airport], USA
MYV	Marysville, CA [Yuba County Airport], USA
MYW	Mtwara, Tanzania
MYX	Menyamya, Papua New Guinea
MYY	Miri, Sarawak, Malaysia
MYZ	Monkey Island, Malawi
MZA	Muzaffarnagar, India
MZB	Mocimboa da Praia, Mozambique
MZC	Mitzic, Gabon
MZD	Mendez, Ecuador
MZE	Manatee, Belize
MZF	Mzamba, South Africa
MZG	Makung, Taiwan
MZH	Merzifon, Turkey
MZI	Mopti [Barbe], Mali
MZJ	Marana, AZ [Pinal Airpark], USA
MZK	Marakei, Kiribati
MZL	Manizales, Colombia
MZM	Metz [Frescaty], France
MZN	Minj, Papua New Guinea
MZO	Manzanillo, Cuba
MZP	Motueka, New Zealand
MZQ	Mkuze, South Africa
MZR	Mazar i Sharif, Afghanistan
MZS	Mostyn, Malaysia
MZT	Mazatlan [General Rafael Bueina], Mexico
MZU	Muzaffarpur, India
MZV	Mulu, Malaysia
MZX	Mena, Ethiopia
MZY	Mossel Bay, South Africa
MZZ	Marion, IN [Marion Municipal Airport], USA
NAA	Narrabri, New South Wales, Australia
NAB	Albany, GA [Albany Naval Air Station], USA
NAC	Naracoorte, South Australia, Australia
NAD	Macanal, Colombia
NAE	Natitingou, Benin
NAF	Banaina, Indonesia
NAG	Nagpur, India
NAH	Naha, Sangihe, Indonesia
NAI	Annai, Guyana
NAK	Nakhon Ratchasima, Thailand
NAL	Nalchik, Kabardino-Balkaria, Russia
NAM	Namlea, Indonesia
NAN	Nadi, Fiji
NAO	Nanchong, China
NAP	Napoli (Naples) [Capodichino], Italy
NAQ	Qanaq, Greenland
NAR	Nare, Colombia
NAS	Nassau, New Providence [International Airport], Bahamas
NAT	Natal, RN, Brazil
NAU	Napuka, French Polynesia
NAW	Narathiwat, Thailand
NAX	Ewa, HI [Barbers Point Naval Air Station (John Rodgers Field)], USA
NAY	Beijing [Nan Yuan Air Base], China
NBB	Barrancominas, Colombia
NBC	Naberezhnyye Chelny, Tatarstan, Russia
NBE	Dallas, TX [Dallas Naval Air Station (Hensley Field)], USA
NBG	New Orleans, LA [New Orleans Naval Air Station (Alvin Callender Field)], USA
NBH	Nambucca Heads, New South Wales, Australia
NBJ	Foley, AL [Barin Naval Outlying Field], USA
NBL	San Blas, Panama
NBO	Nairobi [Jomo Kenyatta], Kenya
NBR	Nambour, Queensland, Australia
NBU	Glenview, IL [Glenview Naval Air Station], USA
NBV	Cana Brava, PA, Brazil
NBW	Guantanamo [Guantanamo Naval Air Station], Cuba
NBX	Nabire, Indonesia
NCA	North Caicos, Turks & Caicos
NCE	Nice [Cote d'Azur], France
NCG	Casas Grandes, Mexico
NCH	Nachingwea, Tanzania
NCI	Necocli, Colombia
NCL	Newcastle, United Kingdom
NCN	New Chenega, AK, USA
NCO	North Kingstown/Quonset Point, RI [Quonset State Airport], USA
NCP	Cubi Point [Cubi Point Naval Air Station], Philippines
NCQ	Marietta, GA [Atlanta Naval Air Station], USA
NCS	Newcastle, South Africa
NCT	Nicoya, Costa Rica
NCU	Nukus, Karakalpakstan, Uzbekhistan
NCY	Annecy, France
NDA	Bandanaira, Indonesia
NDB	Nouadhibou, Mauritania
NDC	Nanded, India
NDD	Sumbe, Angola
NDE	Mandera, Kenya
NDG	Qiqihar (Tsi-tsihar), China
NDI	Namudi, Papua New Guinea
NDJ	N'Djamena, Chad
NDK	Namorik [Namorik Airport], Marshall Islands
NDL	Ndele, Central African Republic
NDM	Mendi, Ethiopia
NDP	Pensacola, FL [Ellyson Naval Air Station], USA
NDR	Nador, Morocco
NDS	Sandstone, Western Australia, Australia
NDU	Rundu, Namibia
NDV	Washington, DC [Anacostia U.S. Navy Heliport], USA
NDY	Sanday, Orkney Islands, Scotland, United Kingdom
NDZ	Nordholz, Germany
NEA	Brunswick, GA [Glynco Naval Air Station], USA
NEC	Necochea, Argentina
NEG	Negril, Jamaica
NEJ	Nova Lamego, Guinea Bissau
NEK	Nekemete, Ethiopia
NEL	Lakehurst, NJ [Lakehurst NAES (Maxfield Field)], USA
NEN	Jacksonville, FL [Whitehouse Naval Outlying Field], USA
NER	Neryungri, Yakutia-Sakha, Russia
NES	New York, NY [New York Skyports Inc. Seaplane Base], USA
NEU	Iwakuni, Honshu Is. [Marine Corps Air Facility], Japan
NEV	Charlestown, Nevis [Newcastle], St. Kitts and Nevis
NEW	New Orleans, LA [Lakefront Airport], USA
NFB	Mount Clemens, MI [Detroit Naval Air Facility], USA
NFD	Summerdale, AL [Summerdale Naval Outlying Field], USA
NFE	Fentress, VA [Fentress Naval Auxiliary Landing Field], USA
NFG	Nefteyugansk, Tyumen, Russia
NFJ	Milton, FL [Choctaw Naval Outlying Field], USA
NFL	Fallon, NV [Fallon Naval Air Station (Van Voorhis Field)], USA
NFO	Niuafo'ou, Western Samoa
NFW	Fort Worth, TX [Fort Worth Naval Air Station], USA
NGA	Young, New South Wales, Australia
NGB	Ningbo, China
NGC	Grand Canyon, AZ [North Rim], USA
NGD	Anegada, British Virgin Islands
NGE	N'Gaoundere, Cameroon
NGF	Kaneohe, HI [Kaneohe Bay Marine Corps Air Field], USA
NGI	Ngau, Fiji
NGM	Agana [Agana Naval Air Station], Guam
NGN	Nargana, Panama
NGO	Nagoya, Honshu [Komaki], Japan
NGP	Corpus Christi, TX [Corpus Christi Naval Air Station], USA
NGR	Nigerum, Papua New Guinea
NGS	Nagasaki, Japan
NGT	Berclair, TX [Goliad Naval Auxiliary Landing Field], USA
NGU	Norfolk, VA [Norfolk Naval Air Station (Chambers Field)], USA
NGW	Corpus Christi, TX [Cabaniss Field Naval Outlying Field], USA
NGX	Manang, Nepal
NGZ	Alameda, CA [Alameda Naval Air Station (Nimitz Field)], USA
NHA	Nha-Trang, Vietnam
NHF	New Halfa, Sudan
NHJ	Naha, Japan
NHK	Patuxent River, MD [Patuxent River Naval Air Station (Trapnell Field)], USA
NHS	Nushki, Pakistan
NHT	Northolt, England [Northholt Aerodrome], United Kingdom
NHV	Nuku Hiva, Marquesas Islands, French Polynesia
NHX	Foley, AL [Foley Municipal Airport], USA
NHZ	Brunswick, ME [Brunswick Naval Air Station], USA
NIA	Nimba, Liberia
NIB	Nikolai, AK [Nikolai Airport], USA
NIC	Nicosia, Cyprus
NID	China Lake, CA [China Lake NAWS/Armitage Field], USA
NIE	Niblack, AK, USA
NIF	Nifty, Western Australia, Australia
NIG	Nikunau, Kiribati
NII	Niort, France
NIK	Niokolo Koba, Senegal
NIM	Niamey, Niger
NIN	Ninilchik, AK [Ninilchik Airport], USA
NIO	Nioki, Zaire
NIP	Jacksonville, FL [Jacksonville Naval Air Station (Towers Field)], USA
NIR	Beeville, TX [Chase Field Naval Air Station], USA
NIT	Niort, France
NIX	Nioro, Mali
NJA	Atsugi, Japan
NJC	Nizhevartovsk, Tyumen, Russia
NJK	El Centro, CA [El Centro Naval Air Facility], USA
NJM	Swansboro, NC [Bogue Field Marine Corps Auxiliary Landing Field], USA
NJP	Warminster, PA [Warminster NAWC Airport], USA
NJW	Moscow, MS [Joe Williams Naval Outlying Field], USA
NKA	Nkan, Gabon
NKB	Noonkanbah, Western Australia, Australia
NKC	Nouakchott, Mauritania
NKG	Nanjing, China
NKI	Naukiti, AK, USA
NKL	Nkolo, Zaire
NKN	Nankina, Papua New Guinea
NKS	N'Kongsamba, Cameroon
NKT	Cherry Point, NC [Cherry Point Marine Corps Air Station/Cunningham Field], USA
NKU	Nkaus, Lesotho
NKV	Nichen Cove, AK, USA
NKW	Diego Garcia, British Indian Ocean Territory
NKX	San Diego, CA [Miramar Naval Air Station (Mitscher Field)], USA
NKY	Nkayi, Congo
NLA	N'Dola, Zambia
NLC	Lemoore, CA [Lemoore Naval Air Station (Reeves Field)], USA
NLD	Nuevo Laredo [Quetzalcoati], Mexico
NLE	Niles, MI [Jerry Tyler Memorial Airport], USA
NLF	Darnley Island, Queensland, Australia
NLG	Nelson Lagoon, AK [Nelson Lagoon Airport], USA
NLK	Norfolk Island, Norfolk Island, Australia
NLL	Nullagine, Western Australia, Australia
NLO	Kinshasa [N'Dolo], Zaire
NLP	Nelspruit, South Africa
NLS	Nicholson, Western Australia, Australia
NLV	Mykolayiv (Nikolayev), Mykolayiv, Ukraine
NMA	Namangan, Namangan, Uzbekhistan
NMB	Daman, India
NMC	Norman's Cay, Bahamas
NME	Nightmute, AK [Nightmute Airport], USA
NMG	San Miguel, Panama
NMK	Nicosia [Makarios], Cyprus
NMM	Meridian, MS [Meridian Naval Air Station (McCain Field)], USA
NMP	New Moon, Queensland, Australia
NMR	Nappa Merry, Queensland, Australia
NMS	Namsang, Myanmar
NMT	Namtu, Myanmar
NMU	Namu, Marshall Islands
NNA	Kenitra, Morocco
NNB	Santa Ana [Santa Ana Seaplane Base], Solomon Islands
NND	Nangade, Mozambique
NNG	Nanning, China
NNI	Namutoni, Namibia
NNK	Naknek, AK [Naknek Airport], USA
NNL	Nondalton, AK [Nondalton Airport], USA
NNT	Nan, Thailand
NNU	Nanuque, MG, Brazil
NNX	Nunukan, Borneo, Indonesia
NNY	Nanyang, China
NOA	Nowra, New South Wales, Australia
NOB	Nosara Beach, Costa Rica
NOC	Knock/Connaught, Ireland
NOD	Norden, Germany
NOE	Norddeich, Germany
NOG	Nogales, Mexico
NOI	Novorossiysk, Krasnodar, Russia
NOJ	Noyabr'sk, Tyumen, Russia
NOK	Nova Xavantina, Brazil
NOM	Nomad River, Papua New Guinea
NON	Nonouti, Kiribati
NOO	Naoro, Papua New Guinea
NOP	Lapu-Lapu, Mactan Island [Mactan International Airport], Philippines
NOR	Nordfjordur, Iceland
NOS	Nossi-Be [Fascene], Madagascar
NOT	Novato, CA [Gnoss Field], USA
NOU	Noumea [La Tontouta], New Caledonia
NOV	Huambo (Nova Lisboa), Angola
NOW	Port Angeles, WA [Port Angeles Coast Guard Air Station], USA
NOZ	Novokuznetsk, Novokuznetsk, Russia
NPA	Pensacola, FL [Pensacola Naval Air Station (Forrest Sherman Field)], USA
NPB	Nuiatoputapu, Tonga
NPE	Napier/Hastings, New Zealand
NPG	Nipa, Papua New Guinea
NPH	Nephi, UT [Nephi Municipal Airport], USA
NPL	New Plymouth, New Zealand
NPO	Nangapinoh, Indonesia
NPP	Napperby, Northern Territory, Australia
NPS	Honolulu, HI [Ford Island Naval Auxiliary Landing Field], USA
NPT	Newport, RI [Newport State Airport], USA
NPU	San Pedro de Uraba, Colombia
NQA	Millington, TN [Memphis Naval Air Station], USA
NQI	Kingsville, TX [Kingsville Naval Air Station], USA
NQL	Niquelandia, GO, Brazil
NQN	Neuquen, Argentina
NQU	Nuqui, Colombia
NQX	Key West, FL [Key West Naval Air Station (Boca Chica Field)], USA
NQY	Newquay [St. Mawgan Airport], United Kingdom
NRA	Narrandera, New South Wales, Australia
NRB	Mayport, FL [Mayport Naval Air Station], USA
NRC	Crow's Landing, CA [Crow's Landing Naval Auxiliary Landing Field], USA
NRD	Norderney, Germany
NRE	Namrole, Buru Island, Indonesia
NRG	Narrogin, Western Australia, Australia
NRI	Afton, OK [Shangri La Heliport], USA
NRK	Norrkoping [Kungsangen], Sweden
NRL	North Ronaldsway, United Kingdom
NRM	Nara, Mali
NRN	Norton, KS [Norton Municipal Airport], USA
NRR	Roosevelt Roads [Roosevelt Roads Naval Station (Ofstie Field)], Puerto Rico
NRS	Imperial Beach, CA [Imperial Beach Naval Outlying Field], USA
NRT	Tokyo [Narita], Japan
NRU	Narum, Papua New Guinea
NRV	Guam [U.S. Coast Guard], Guam
NRW	Duesseldorf (Dusseldorf)/Koeln (Koln,Cologne)/Bonn [Metropolitan Area], Germany
NRY	Newry, Northern Territory, Australia
NSA	Noosa, Queensland, Australia
NSB	Bimini, Bimini [North Seaplane Base], Bahamas
NSE	Milton, FL [Whiting Field Navalk Air Station-North], USA
NSF	Camp Springs, MD [Andrews Naval Air Field], USA
NSH	Nowshahr, Iran
NSI	Yaounde [Nsimalen International], Cameroon
NSK	Noril'sk (Noryl'sk,Norylsk), Krasnoyarsk [Alykel], Russia
NSM	Norseman, Western Australia, Australia
NSN	Nelson, New Zealand
NSO	Scone, New South Wales, Australia
NSP	Sangley Point, Philippines
NST	Nakhon Si Thammarat, Thailand
NSV	Noosaville, Queensland, Australia
NSX	Virgin Gorda, Virgin Gorda [Virgin Gorda Naval Station], British Virgin Islands
NSY	Sigonella, Italy
NTA	Natadola, Fiji
NTB	Notodden, Norway
NTC	Santa Carolina, Mozambique
NTD	Point Mugu, CA [Point Mugu NAWS Airport], USA
NTE	Nantes [Chateau Bougon], France
NTG	Nantong, China
NTI	Bintuni, Indonesia
NTJ	Manti, UT [Manti-Ephraim Airport], USA
NTK	Tustin, CA [Tustin Marine Corps Air Station], USA
NTL	Newcastle, New South Wales [Williamtown Airport], Australia
NTM	Miracema do Norte, GO, Brazil
NTN	Normanton, Queensland, Australia
NTO	Santo Antao, Cape Verde
NTR	Monterrey [Aeropuerto Internacional del Norte], Mexico
NTT	Niuatoputapu, Western Samoa
NTU	Virginia Beach, VA [Oceana Naval Air Station (Apollo Soucek Field)], USA
NTX	Natuna Ranai, Indonesia
NTY	Pilanesberg/Sun City, South Africa
NUB	Numbulwar, Northern Territory, Australia
NUC	San Clemente Island, CA [San Clemente Island Naval Auxiliary Landing Field (Frederick Sherman Field)], USA
NUD	En Nahud, Sudan
NUE	Nuernberg (Nurnberg,Nuremburg), Germany
NUG	Nuguria, Papua New Guinea
NUH	Nunchia, Colombia
NUI	Nuiqsut, AK [Niuqsut Airport], USA
NUK	Nukutaveke, French Polynesia
NUL	Nulato, AK [Nulato Airport], USA
NUN	Pensacola, FL [Saufley Field Naval Outlying Field], USA
NUP	Nunapitchuk, AK [Nunapitchuk Airport], USA
NUQ	Mountain View, CA [Moffett Field Naval Air Station], USA
NUR	Nullarbor, South Australia, Australia
NUS	Norsup, Vanuatu
NUT	Nutuve, Papua New Guinea
NUU	Nakuru, Kenya
NUW	Oak Harbor, WA [Whidbey Island Naval Air Station (Ault Field)], USA
NUX	Novyy Urengoy, Tyumen, Russia
NVA	Neiva, Colombia
NVD	Nevada, MO [Nevada Municipal Airport], USA
NVG	Nueva Guinea, Nicaragua
NVK	Narvik [Framnes], Norway
NVP	Novo Aripuana, Brazil
NVR	Novgorod, Novgorod, Russia
NVS	Neveras, France
NVT	Navegantes, Brazil
NVY	Neyveli, India
NWA	Moheli, Comoros
NWH	Newport, NH [Parlin Field], USA
NWI	Norwich, United Kingdom
NWP	Argentia, NF [Argentia Naval Air Station], Canada
NWT	Nowata, Papua New Guinea
NWU	Bermuda [Bermuda Naval Air Station], Bermuda
NXP	Twentynine Palms, CA [Twentynine Palms EAF Marine Corps Air Ground Combat Center Airport], USA
NXX	Willow Grove, PA [Willow Grove Naval Air Station], USA
NYC	New York, NY [Metropolitan Area], USA
NYE	Nyeri, Kenya
NYG	Quantico, VA [Quantico Marine Corps Air Facility (Turner Field)], USA
NYI	Sunyani, Ghana
NYK	Nanyuki, Kenya
NYL	Yuma, AZ [Yuma Marina Corps Air Station], USA
NYM	Nadym, Tyumen, Russia
NYN	Nyngan, New South Wales, Australia
NYO	Nykoping, Sweden
NYU	Nyaung U, Myanmar
NZA	Nazca, Peru
NZC	Jacksonville, FL [Cecil Field Naval Air Station], USA
NZE	N Zerekore, Guinea
NZJ	Santa Ana, CA [El Toro Marine Corps Air Station], USA
NZO	Nzoia, Kenya
NZW	South Weymouth, MA [South Weymouth Naval Air Station (Shea Field)], USA
NZX	Harold, FL [Harold Naval Outlying Field], USA
NZY	San Diego, CA [North Island Naval Air Station (Halsey Field)], USA
OAG	Orange, New South Wales, Australia
OAJ	Jacksonville, NC [Albert J. Ellis Airport], USA
OAK	Oakland, CA [Metropolitan Oakland International Airport], USA
OAM	Oamaru, New Zealand
OAN	Olanchito, Honduras
OAR	Fort Ord/Monterey, CA [Fritzsche Army Air Field], USA
OAX	Oaxaca [Xoxocotlan], Mexico
OBA	Oban, Queensland, Australia
OBC	Obock, Djibouti
OBD	Obano, Indonesia
OBE	Okeechobee, FL [Okeechobee County Airport], USA
OBF	Oberpfaffenhofen [Dornier/DLR], Germany
OBI	Obidos, PA, Brazil
OBK	Northbrook, IL [Plaza Heliport], USA
OBM	Morobe, Papua New Guinea
OBN	Oban, United Kingdom
OBO	Obihiro, Japan
OBS	Aubenas, France
OBT	Oakland, CA [Coliseum Street], USA
OBU	Kobuk, AK [Kobuk Airport], USA
OBX	Obo, Papua New Guinea
OBY	Scoresbysund, Greenland
OCA	Key Largo, FL [Ocean Reef Club Airport], USA
OCC	Coca, Ecuador
OCE	Ocean City, MD [Ocean City Municipal Airport], USA
OCF	Ocala, FL [Ocala Regional Airport/Jim Taylor Field], USA
OCH	Nacogdoches, TX [A.L. Mangham Jr. Regional Airport], USA
OCI	Oceanic, AK, USA
OCJ	Ocho Rios, Jamaica
OCN	Oceanside, CA [Oceanside Municipal Airport], USA
OCO	San Jose [El Coco], Costa Rica
OCQ	Oconto, WI [Oconto Municipal Airport], USA
OCV	Ocana, Colombia
OCW	Washington, NC [Warren Field], USA
ODA	Ouadda, Central African Republic
ODB	Cordoba [San Jeronimo], Spain
ODD	Oodnadatta, South Australia, Australia
ODE	Odense [Beldringe], Denmark
ODH	Odiham, England [Odiham RAF Station], United Kingdom
ODJ	Ouanda Djalle, Central African Republic
ODL	Cordillo Downs, South Australia, Australia
ODM	Oakland, MD [Garrett County Airport], USA
ODN	Long Seridan, Sarawak, Malaysia
ODR	Ord River, Western Australia, Australia
ODS	Odessa, Odesa [Tsentrainy], Ukraine
ODW	Oak Harbor, WA [Oak Harbor Air Park], USA
ODX	Ord, NE [Evelyn Sharp Field], USA
ODY	Oudomxay, Laos
OEA	Vincennes, IN [O'Neal Airport], USA
OEC	Ocussi, Indonesia
OEL	Oakley, KS [Oakley Municipal Airport], USA
OEM	Paloemeu, Suriname
OEO	Osceola, WI [L.O. Simenstad Municipal Airport], USA
OER	Ornskoldsvik, Sweden
OES	San Antonio Oeste [Antoine de Ste.-Exupery], Argentina
OFF	Omaha, NE [Offutt Air Force Base], USA
OFI	Ouango Fitini, Ivory Coast
OFJ	Olafsfjordur, Iceland
OFK	Norfolk, NE [Karl Stefan Memorial Airport], USA
OFP	Richmond/Ashland, VA [Hanover County Municipal Airport], USA
OFU	Ofu Island [Ofu Airport], American Samoa
OGA	Ogallala, NE [Searle Field], USA
OGB	Orangeburg, SC [Orangeburg Municipal Airport], USA
OGD	Ogden, UT [Ogden-Hinckley Airport], USA
OGE	Ogeranang, Papua New Guinea
OGG	Kahului, HI [Kahului Airport], USA
OGL	Ogle, Guyana
OGM	Ontonagon, MI [Ontonagon County Airport], USA
OGN	Yonaguni Jima, Japan
OGO	Abengourou, Ivory Coast
OGR	Bongor, Chad
OGS	Ogdensburg, NY [Ogdensburg International Airport], USA
OGX	Ouargla, Algeria
OGZ	Vladikavkaz, North Ossetia, Russia
OHC	Northeast Cape, AK, USA
OHD	Ohrid, Macedonia
OHI	Oshakati, Namibia
OHP	Oban [Oban Heliport], United Kingdom
OHR	Wyk auf Foehr, Germany
OHT	Kohat, Pakistan
OIC	Norwich, NY [Lt. Warren Eaton Airport], USA
OIL	Oil City, PA [Splane Memorial Airport], USA
OIM	Oshima Island, Japan
OIN	Oberlin, KS [Oberlin Municipal Airport], USA
OIR	Okushiri, Japan
OIT	Oita, Japan
OJC	Olathe, KS/Kansas City, MO [Johnson County Executive Airport], USA
OJO	Outjo, Namibia
OJW	Otjiwarongo, Namibia
OKA	Okinawa, Ryukyu Is., Japan
OKB	Orchid Beach, Australia
OKC	Oklahoma City, OK [Will Rogers World Airport], USA
OKD	Sapporo [Okadama], Japan
OKE	Okino Erabu, Japan
OKF	Okaukuejo, Namibia
OKG	Okoyo, Congo
OKH	Oakham, England [Cottesmore RAF Station], United Kingdom
OKI	Oki Island, Japan
OKJ	Okayama, Japan
OKK	Kokomo, IN [Kokomo Municipal Airport], USA
OKL	Oksibil, Indonesia
OKM	Okmulgee, OK [Okmulgee Municipal Airport], USA
OKN	Okondja, Gabon
OKO	Yokota [Yokota Air Force Base], Japan
OKP	Oksapmin, Papua New Guinea
OKQ	Okaba, Indonesia
OKR	Yorke Islands, Queensland, Australia
